SMG,NLM
NGL,VLD
NFR,RWRT
MTPR,LAM
MYP,RWRT
MLG,DWNK
MSN,LAM
MRV,LAM
DAD,BWDT
DAMN,VPIT
EST,KPYT
ERD,NLM
BLI,TTB
BKN,RWRT
BRBM,RWRT
HYD,VNP
CTK,JGT
JDT,NGD
YNR,RWRT
ASR,RWRT
CKN,NGD
BRC,LAM
DGL,NLM
DGP,CALT
DHJ,LAM
DHP,NLM
DHR,RWRT
JJPR,JGT
BTB,VDM
BSW,DWNK
CPLN,NGD
CST,BWDT
CDPR,VDM
CTG,JPRT
CTG,LAM
CPR,HJPT
MAU,CNDP
LKO,KNPT
VPB,VNP
NMH,DWNK
PBN,VDM
DGL,VLD
KGM,VNP
BSL,VDM
KTMD,RXL
MYS,NLM
MTR,RWRT
DLA,NGD
GDRA,LAM
CHAS,ASB
MMN,MDST
DMT,TTB
BRDN,CALT
CAN,NLM
LDH,RWRT
JGT,JGT
ALP,KPYT
ANRM,NGD
AGL,BEL
MDHL,VNP
TTBG,TTB
REKM,KPYT
PTL,RWRT
RCDG,CDGT
RBL,CNDP
WLJS,NGD
PDR,LAM
RGWT,BEL
RKNP,KNPT
RBEL,BEL
JYPR,TTB
KAGL,NGD
ZRP,CDGT
BRN,RWRT
RXL,HJPT
UNA,CDGT
JCBF,RWRT
SRWL,NGD
GGE,BWDT
STJ,LAM
PURL,ASB
RJSP,ASB
RALW,JPRT
CHIM,NGD
PMT,MDST
KBGD,NLM
PIP,DWNK
GIN,MDST
FSG,NGD
CKPT,VNP
POK,SNL
RCNI,MDST
HZR,LAM
NLG,CDGT
NTH,NGD
PUNE,NGD
BBSR,JGT
SJP,RWRT
VRGS,VRGT
IRUN,MDST
BDR,VNP
JLB,LAM
KLMB,CDGT
PTU,VNP
PRS,VDM
PNDR,KPYT
PABB,NLM
BDH,CNDP
IDA,RWRT
KMBL,BWDT
SNLR,KPYT
BOLR,VNP
BLIS,TTB
ORGM,MDST
LMS,BEL
PTNT,HJPT
SNND,LAM
NABB,NGD
PTP,DWNK
JDP,LAM
HPR,RWRT
DBPT,NLM
SHL,NGD
JPR,JPRT
SHR,LAM
HSN,NLM
HSP,RWRT
POR,LAM
PNL,BWDT
PNJ,VRGT
PNYA,NLM
PNDG,VRGT
VRG,VRGT
SKH,LAM
SKD,RWRT
RSK,RWRT
TIN,BEL
UNJ,LAM
BNGK,NLM
SKL,VNP
SKL,IPM
SGL,NGD
AKM,MDST
PALI,LAM
RNBR,ADG
SKT,RWRT
PALI,RWRT
STV,BWDT
PCY,MDST
SSA,RWRT
ALD,CNDP
SCN,LAM
BAG,RWRT
ALG,RWRT
AMBT,BWDT
AND,LAM
AMC,RWRT
AURI,CNDP
AMT,VDM
BDVT,NLM
BDW,MDST
BGP,HJPT
BDD,CDGT
BDP,BWDT
ASL,CALT
MRT,RWRT
BDK,JGT
JGN,CALT
RGDM,LAM
PLN,KPYT
GPT,KPYT
AMBI,BWDT
RJPR,RGIM
BONG,BEL
PTUB,VNP
BPSI,BWDT
JGYP,VNP
GDR,MDST
RGM,VNP
GWT,BEL
PLPR,CNDP
BGS,HJPT
SKG,KNPT
RPD,KNPT
RMHC,ASB
AKL,VDM
RCR,VNP
ATP,VNP
JNGP,CALT
BAN,RWRT
RASY,BWDT
JIG,NLM
GAN,RWRT
HPT,ADG
JSGP,NGD
HRHR,ADG
JND,LAM
JMW,RWRT
PHN,NGD
BBK,KNPT
RPT,NLM
RGT,NLM
RPR,TTB
ROHA,NGD
AKV,LAM
TRR,BWDT
MPCG,VRGT
BGM,ADG
RRPR,TTB
TRYB,VLD
NNG,RWRT
RLDH,RWRT
GRND,RWRT
JTS,ASB
RMYS,NLM
SIL,BEL
VZAK,VNP
RPCY,NLM
MSR,RWRT
RTRY,NLM
RMDR,VLD
JEJ,NGD
RTCN,VLD
RJPM,VLD
PRG,NGD
PRDP,JGT
IKR,NGD
RJR,NLM
RKL,TTB
RGH,TTB
RJN,TTB
RMK,CNDP
RKT,CNDP
BAM,IPM
ANGL,JGT
RGD,TTB
PTN,HJPT
MGH,RWRT
KWD,NGD
RMNG,NLM
RPNJ,VRGT
GSR,CALT
RGJ,VNP
JHS,DWNK
CGDR,LAM
HWDI,NGD
KTHL,RWRT
PNP,RWRT
WGH,LAM
RMB,RWRT
RWR,RWRT
SDB,RWRT
BCMG,VRGT
HUP,VNP
ALDI,NGD
SBDG,VNP
RKSG,JPRT
SAD,RWRT
RHN,STN
VZA,VNP
ALI,LAM
PTK,RWRT
ANR,NGD
SGI,STN
JGR,BEL
DPD,BWDT
TSC,MDST
HZB,ASB
HWRH,CALT
JDP,RWRT
GWK,VNP
PWN,CDGT
RJP,RWRT
QLN,KPYT
RNC,ASB
AKR,CALT
RJY,VNP
RKE,RWRT
RTN,NGD
RKOL,CALT
RAHM,LAM
RHYD,VNP
RBNG,NLM
VSRD,BWDT
SRIP,MDST
REWA,STN
STG,RWRT
SLQ,RWRT
AMRO,RWRT
HSR,NLM
GWL,DWNK
HUP,NLM
JGDP,TTB
JDSP,CNDP
ROK,RWRT
ABT,MDST
RMBY,BWDT
ABD,NGD
ABK,TTB
AHMD,LAM
JOR,BEL
AJM,LAM
NLMG,NLM
ABRD,LAM
TSC,VNP
PRN,HJPT
KRR,VLD
ATP,NLM
RDLH,RWRT
SMB,RWRT
NMRA,RWRT
AJM,JPRT
VDMG,VDM
PTD,LAM
AGR,RWRT
PTHN,NGD
RDP,RWRT
RJK,LAM
RGP,TTB
ALW,RWRT
PNC,NGD
BAP,RWRT
MTD,LAM
GTK,BWDT
HAR,NLM
PTCT,HJPT
PRJ,CNDP
RMN,CNDP
POK,RXL
JCR,NLM
ASBG,ASB
LONI,RWRT
NHTD,RXL
NKTM,RXL
SAP,LAM
BRH,RWRT
RNGP,CALT
NPOK,RXL
LEH,SNR
OBR,CNDP
SNR,JMW
BTUL,VDM
DRK,RWRT
JRM,CDGT
SAV,LAM
ATB,NLM
DOS,HJPT
TLG,NGD
SKRP,NGD
AMCT,RWRT
PKW,RWRT
ADG,NGD
ADG,VNP
HJPT,CALT
HJPT,DWNK
LAM,DWNK
VNP,NGD
VNP,NLM
HJPT,ASB
LAM,NGD
MDST,NGD
MDST,VDM
CNDP,VDM
CNDP,DWNK
CNDP,RWRT
KPYT,NLM
MDST,NLM
NLM,IPM
NLM,NGD
KPYT,IPM
KPYT,NGD
KPYT,VDM
CALT,VDM
NLM,VDM
MDST,IPM
NLM,RWRT
CALT,VNP
LAM,RWRT
BEL,CALT
RWRT,LAM
LAM,VNP
KNPT,CNDP
CALT,NGD
CALT,NLM
NLM,LAM
LAM,NLM
VDM,VNP
ADG,RWRT
ADG,NLM
JGT,IPM
JGT,TTB
JGT,VDM
DWNK,NLM
VLD,NLM
VPIT,LAM
VNP,VDM
NLM,ADG
VLD,IPM
DWNK,NGD
DWNK,TTB
KPYT,RWRT
CALT,CNDP
VPIT,NGD
VRGT,NGD
STN,VDM
VNP,RWRT
STN,DWNK
VNP,VNP
NGD,VDM
NGD,NLM
VLD,VDM
CDGT,RWRT
VNP,IPM
TTB,CALT
RWRT,HJPT
TTB,VDM
TTB,ASB
KNPT,VDM
BWDT,NGD
NGD,TTB
KNPT,RWRT
KNPT,DWNK
BWDT,NLM
BWDT,TTB
BWDT,VDM
BWDT,RWRT
LAM,TTB
LAM,LAM
JPRT,RWRT
VZM,IPM
JPRT,LAM
RWRT,NGD
CALT,RWRT
VLD,RWRT
IPM,VDM
VDM,NGD
DWNK,HJPT
RWRT,CNDP
DWNK,VNP
VDM,TTB
DWNK,RWRT
VNP,ADG
KPYT,LAM
HJPT,CNDP
NGD,VNP
IPM,VNP
RWRT,DWNK
